,,,,,بيانات على مستوى الحي من تعداد 2015 ,,,,,,,,,,,,,,,,,,,,
GOV_CODE,المحافظة,LUAA_CODE,اللواء,DISTRICT_CODE,القضاء,COLLECTION_CODE,التجمع السكاني,AREA_CODE,المنطقة,QUERTER_CODE,الحي,الفئات العمرية,ذكر _اردني,انثى _اردني,ذكر _سوري,انثى _سوري,ذكر _عراقي,انثى _عراقي,ذكر_فلسطيني,انثى_فلسطيني,ذكر _مصري,انثى _مصري,اخرى _ذكر ,اخرى _انثى,المجموع
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,0-4,325,290,166,188,17,10,83,84,106,59,98,94,"1,520"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,10-14,430,366,152,98,27,30,20,35,63,84,34,41,"1,380"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,15-19,447,387,109,165,18,25,50,35,93,48,41,57,"1,475"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,20-24,474,434,174,150,33,36,22,42,232,41,127,261,"2,026"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,25-29,387,387,117,140,34,45,50,63,454,55,243,373,"2,348"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,30-34,364,348,123,114,14,10,63,14,324,82,346,364,"2,166"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,35-39,316,315,124,108,15,16,21,35,355,55,197,255,"1,812"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,40-44,228,332,48,56,20,21,7,28,247,16,226,185,"1,414"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,45-49,295,377,64,69,21,16,7,0,151,0,181,140,"1,321"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,50-54,324,337,89,62,34,32,35,21,126,16,95,97,"1,268"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,55-59,234,323,43,39,27,21,21,7,67,33,85,59,959
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,5-9,412,390,163,166,18,23,34,42,110,142,85,17,"1,602"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,60-64,194,206,32,18,10,18,7,0,48,24,23,45,625
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,65-69,213,219,15,15,11,10,14,14,26,0,14,26,577
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,70-74,165,161,12,4,10,18,0,7,6,0,16,5,404
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,74-79,52,124,4,0,8,12,7,0,0,0,10,5,222
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110901,جبل اللويبدة,80+,91,146,11,8,6,6,0,14,0,0,8,0,290
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,0-4,"1,929","1,808",905,894,211,183,594,454,174,211,160,149,"7,672"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,10-14,"2,350","2,128",812,846,198,159,517,524,248,244,100,116,"8,242"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,15-19,"2,321","2,161",715,765,175,194,561,498,426,193,133,118,"8,260"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,20-24,"2,334","2,051",564,610,207,167,589,421,475,209,201,201,"8,029"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,25-29,"1,839","1,667",522,657,149,185,471,275,784,156,177,310,"7,192"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,30-34,"1,460","1,401",679,553,101,185,413,287,603,121,217,339,"6,359"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,35-39,"1,289","1,433",441,452,185,157,371,203,387,125,196,235,"5,474"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,40-44,"1,255","1,428",369,400,139,173,280,189,399,7,154,224,"5,017"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,45-49,"1,351","1,463",264,292,140,131,245,154,489,104,138,175,"4,946"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,50-54,"1,213","1,247",282,233,134,152,287,112,253,67,161,129,"4,270"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,55-59,814,860,233,168,94,139,189,77,296,65,111,43,"3,089"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,5-9,"2,294","2,351","1,054","1,111",233,202,670,642,265,242,100,108,"9,272"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,60-64,558,674,124,111,131,86,98,84,90,24,96,67,"2,143"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,65-69,474,638,93,78,71,67,147,112,7,9,36,49,"1,781"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,70-74,439,445,49,49,62,47,133,84,0,16,20,38,"1,382"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,74-79,277,294,34,35,27,41,35,42,17,0,16,20,838
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110902,جبل الحسين,80+,249,253,15,12,17,33,35,70,0,0,12,5,701
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,0-4,466,468,32,86,98,100,28,14,65,96,329,207,"1,989"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,10-14,654,678,94,71,145,137,48,21,117,120,232,153,"2,470"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,15-19,750,736,54,161,148,108,57,42,147,74,190,259,"2,726"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,20-24,765,717,102,80,312,162,84,49,442,52,248,512,"3,525"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,25-29,686,662,95,79,118,146,56,42,586,23,273,768,"3,534"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,30-34,552,611,96,111,83,65,84,21,428,39,393,661,"3,144"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,35-39,465,645,53,76,88,100,49,21,407,63,450,667,"3,084"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,40-44,474,560,43,84,92,105,84,21,330,82,391,428,"2,694"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,45-49,551,664,42,50,115,118,56,28,244,23,339,312,"2,542"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,50-54,496,617,66,48,72,95,98,7,242,0,256,265,"2,262"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,55-59,491,500,18,19,106,99,35,21,60,17,184,178,"1,728"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,5-9,622,586,82,51,120,124,14,28,106,72,274,241,"2,320"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,60-64,326,401,43,12,50,69,35,14,35,15,142,110,"1,252"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,65-69,370,448,27,7,107,90,35,28,8,0,63,113,"1,296"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,70-74,296,338,4,8,40,50,14,14,8,9,51,83,915
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,74-79,231,280,12,4,49,21,14,14,0,0,35,22,682
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110903,الشميساني,80+,265,236,19,15,47,38,7,14,0,0,38,22,701
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,0-4,548,517,87,83,112,102,42,28,61,59,57,59,"1,755"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,10-14,637,557,87,80,133,147,118,110,51,67,24,10,"2,021"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,15-19,752,649,74,136,119,130,85,86,34,26,76,31,"2,198"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,20-24,701,642,80,126,119,124,77,98,109,51,81,119,"2,327"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,25-29,543,526,75,60,76,95,51,35,144,44,132,166,"1,947"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,30-34,409,463,54,77,70,121,21,7,178,66,66,175,"1,707"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,35-39,367,441,42,52,90,83,35,14,69,49,71,82,"1,395"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,40-44,329,396,33,53,97,90,84,28,148,32,62,75,"1,427"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,45-49,393,415,30,46,95,89,21,49,72,0,86,52,"1,348"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,50-54,348,411,45,31,57,73,63,42,57,0,48,31,"1,206"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,55-59,316,305,29,19,67,50,49,21,18,9,33,32,948
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,5-9,586,577,119,55,171,163,96,91,79,50,30,17,"2,034"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,60-64,219,184,27,34,47,34,14,0,0,0,37,32,628
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,65-69,173,166,11,20,29,42,0,7,16,0,20,36,520
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,70-74,119,152,8,10,33,53,35,28,0,0,18,0,456
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,74-79,101,78,12,0,33,13,14,7,0,0,5,5,268
11,العاصمة,1101,قصبة عمان,11011,عمان,11011111,العبدلي,1101111109,العبدلي,110111110904,المدينة الرياضية,80+,56,70,3,8,13,18,21,14,0,0,5,0,208
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,0-4,"1,253","1,171",438,359,13,17,301,363,279,285,31,23,"4,533"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,10-14,"1,451","1,341",287,333,3,14,238,231,317,170,11,17,"4,413"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,15-19,"1,411","1,210",271,170,7,3,245,203,499,137,22,21,"4,199"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,20-24,"1,270","1,012",134,146,10,3,301,190,"1,351",175,53,58,"4,703"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,25-29,959,828,98,230,7,5,236,211,"1,720",172,66,115,"4,647"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,30-34,841,816,200,227,3,4,189,112,"1,192",111,53,60,"3,808"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,35-39,726,714,157,178,17,7,224,133,"1,032",146,44,58,"3,436"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,40-44,764,819,103,95,3,15,175,98,634,36,30,81,"2,853"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,45-49,784,747,80,84,8,11,119,126,392,60,25,33,"2,469"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,50-54,554,510,66,37,15,10,77,49,213,46,23,28,"1,628"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,55-59,358,370,63,48,5,7,56,21,108,60,14,5,"1,115"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,5-9,"1,477","1,417",369,466,13,10,450,363,266,301,3,24,"5,159"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,60-64,232,204,36,30,9,10,21,14,82,24,9,5,676
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,65-69,185,216,19,15,4,2,63,70,22,6,5,0,607
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,70-74,176,178,3,11,6,0,70,35,16,8,0,0,503
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,74-79,94,127,4,0,3,0,28,21,0,0,3,0,280
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120601,النظيف,80+,91,120,0,8,0,5,7,0,0,0,3,0,234
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,0-4,998,878,399,342,2,12,180,231,163,161,7,6,"3,379"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,10-14,"1,042",925,237,249,3,21,315,238,127,177,16,11,"3,361"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,15-19,953,881,211,180,8,11,280,245,190,136,11,0,"3,106"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,20-24,842,781,170,190,10,4,240,182,483,62,29,21,"3,014"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,25-29,647,657,189,272,6,9,182,119,610,58,12,18,"2,779"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,30-34,611,706,209,206,2,2,105,105,545,83,4,28,"2,606"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,35-39,625,608,204,129,5,7,126,105,497,66,5,16,"2,393"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,40-44,583,551,131,89,3,2,154,77,481,22,2,16,"2,111"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,45-49,515,453,90,103,3,7,140,49,319,15,11,9,"1,714"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,50-54,366,341,90,57,11,0,70,42,125,35,0,15,"1,152"
11,العاصمة,1101,قصبة عمان,11011,عمان,11011112,راس العين,1101111206,راس العين,110111120602,الزهور,55-59,257,225,56,40,3,0,28,35,65,39,8,5,761
